symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
PRLB.US,USD,US Dollar,Industrials,Metal Fabrication,11,0.016666666666666666,False,buy_buffer_entry,,0.7068109349506506,0.0383468586387434,0.3118766891780813,0.5806377362406228,0.0,-0.0023517166940788,0.6744466724349926,0.6744466724349926,0.0,4.0,1.0,1.1573843612874422
MSM.US,USD,US Dollar,Industrials,Industrial Distribution,12,0.016666666666666666,False,buy_buffer_entry,,0.6969249454052666,0.0480915362945376,0.6239216364806114,0.3179097822996005,-0.0059339926757056,0.0246651946531935,0.1631211596918833,0.1631211596918833,0.0,22.0,1.0,1.0818097585307338
MYRG.US,USD,US Dollar,Industrials,Engineering & Construction,13,0.016666666666666666,False,buy_buffer_entry,,0.6737043651919007,0.0520854411230787,0.25777593412482,0.1730363620616538,0.0281067526643646,-0.0036583777473558,0.3418513524227312,0.3418513524227312,0.0,7.0,1.0,1.3546899210628822
ITRN.US,USD,US Dollar,Technology,Scientific & Technical Instruments,14,0.016666666666666666,False,buy_buffer_entry,,0.6692502438201844,0.1143053282396702,0.4623783705406847,0.2748889329971584,0.0254211951781146,,0.34895,0.34895,0.0,1.0,1.0,1.2848794477065153
OMAB.US,USD,US Dollar,Industrials,Airports & Air Services,15,0.016666666666666666,False,buy_buffer_entry,,0.6686268999546827,0.042,0.3900333353039749,2.104147848433125,-0.0,,,,0.0,0.0,1.0,1.0706276645976187
STRA.US,USD,US Dollar,Consumer Defensive,Education & Training Services,16,0.016666666666666666,False,buy_buffer_entry,,0.6664038832465038,0.0834224523612262,0.3046832537011782,0.9708599666073028,0.1203019221331905,-1.1075741790378403e-07,0.6036340182747744,0.6036340182747744,0.0,5.0,1.0,1.028616895003298
GCT.US,USD,US Dollar,Technology,Software - Infrastructure,17,0.016666666666666666,False,buy_buffer_entry,,0.6132454391279845,0.0720401234668282,0.2500426209958094,0.3205141132472232,0.1314417644388671,0.0008363531511865,0.6722801488862662,0.6722801488862662,0.0,9.0,1.0,1.3475432364622175
ANF.US,USD,US Dollar,Consumer Cyclical,Apparel Retail,18,0.016666666666666666,False,buy_buffer_entry,,0.5469650323233279,0.0848577523550622,0.8702700886592803,0.5375057848268991,0.0097224967604443,-0.0098953129676639,0.5895594762609839,0.5895594762609839,0.0,26.0,1.0,1.047569261314779
FE.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,19,0.016666666666666666,False,buy_buffer_entry,,0.5466866070260569,0.034466897746967,0.1478427303949628,0.421053812068115,-0.0,0.0211875178157162,0.5216385284174322,0.5216385284174322,0.0,11.0,1.0,1.1300397147891574
EME.US,USD,US Dollar,Industrials,Engineering & Construction,20,0.016666666666666666,False,buy_buffer_entry,,0.5350402342698714,0.0391363185780208,0.3465886784850969,0.1298755960594023,5.103633206684682e-05,-0.00115256240066,0.7317111927128598,0.7317111927128598,0.0,23.0,1.0,1.1973983761004756
IRDM.US,USD,US Dollar,Communication Services,Telecom Services,21,0.016666666666666666,False,rank_fill,,0.5349842450667962,0.1176979831708294,0.2663293571852174,0.1697947904198758,0.0,-0.0003668297149822,0.4737262353017659,0.4737262353017659,0.0,15.0,1.0,1.5379323998642882
CROX.US,USD,US Dollar,Consumer Cyclical,Footwear & Accessories,22,0.016666666666666666,False,rank_fill,,0.5227741187131577,0.0939965235994116,0.5645978801125816,0.4026626267816607,0.0,-0.0072474621336419,0.7058607310068636,0.7058607310068636,0.0,19.0,1.0,1.0641318226679528
